contract_name,hash,year_month,Match_Date,Matched_Attack_Type,Matched_Loss_Amount,predicted_label
TGC_exp,0x12e8c24dec36a29fdd9b9d7a8b587b3abd2519089b6438c194e6e5eb357b68d8,24-May,20240512,Business Logic Flaw,,1
IvestDao_exp,0x12f27e81e54684146ec50973ea94881c535887c2e2f30911b3402a55d67d121d,24-Aug,20240812,Business Logic Flaw,,1
GFOX_exp,0x12fe79f1de8aed0ba947cec4dce5d33368d649903cb45a5d3e915cc459e751fc,24-May,20240510,Lack of Access Control,,1
Liquiditytokens_exp,0x1350cc72865420ba5d3c27234fd4665ad25c021b0a75ba03bc8340a1b1f98a45,24-May,20240531,Business Logic Flaw,,1
Dexible_exp,0x138daa4cbeaa3db42eefcec26e234fc2c89a4aa17d6b1870fc460b2856fd11a6,23-Feb,20230217,Arbitrary External Call Vulnerability,,1
SwampFinance_exp,0x13e75878a21af9a9b2207f5d9e18f19a43083a9ffbac36df5a7d4d67a52c164f,23-Nov,20231101,Business Logic Flaw,,1
Starlink_exp,0x146586f05a4513136deab3557ad15df8f77ffbcdbd0dd0724bc66dbeab98a962,23-Feb,20230217,Business Logic Flaw,,1
MINER_bsc_exp,0x15ab671c9bf918fa4b6a9eed9ccb527f32aca40e926ede2aec2c84dfa9c30512,24-Feb,20240213,Price Manipulation,,1
EFLeverVault_exp,0x160c5950a01b88953648ba90ec0a29b0c5383e055d35a7835d905c53a3dda01e,22-Oct,20221014,Verify Flashloan Callback,,1
Qixi_exp,0x16be4fe1c8fcab578fcb999cbc40885ba0d4ba9f3782a67bd215fb56dc579062,22-Aug,20220803,Underflow,,1
RariCapital_exp,0x171072422efb5cd461546bfe986017d9b5aa427ff1c07ebe8acc064b13a7b7be,21-May,20210508,Cross-contract Reentrancy,,1
JulSwap_exp,0x1751268e620767ff117c5c280e9214389b7c1961c42e77fc704fd88e22f4f77a,21-May,20210527,Flash Loan,,1
TransitSwap_exp,0x181a7882aac0eab1036eedba25bc95a16e10f61b5df2e99d240a16c334b9b189,22-Oct,20221002,Incorrect Owner Address Validation,,1
MAMO_exp,0x189a8dc1e0fea34fd7f5fa78c6e9bdf099a8d575ff5c557fa30d90c6acd0b29f,23-Dec,20231205,Price Manipulation,,1
TrustPad_exp,0x191a34e6c0780c3d1ab5c9bc04948e231d742b7d88e0e4f85568d57fcdc03182,23-Nov,20231106,Lack of MsgSender Address Verification,,1
Binemon_exp,0x1999bb5c11a8d8bfa7620fc5cc37f5bc59c1a99d7a9250a8d6076c93bbdbeb5f,24-Mar,20240223,Logic Flaw,,1
FFIST_exp,0x199c4b88cab6b4b495b9d91af98e746811dd8f82f43117c48205e6332db9f0e0,23-Jul,20230206,Reflection Token,,1
BRAND_exp,0x19ef4febcd272643642925d5d7e9ab8fd3ed8785c5e3268f5b6fee44ae6b4a34,23-Nov,20230621,Reflection Tokens,,1
Telcoin_exp,0x1a31cb6f417d30fe8769328b3412bfb0d70247a82009ef28dfab5730c82acd05,23-Dec,20231225,Storage Collision,,0
Hopelend_exp,0x1a7ee0a7efc70ed7429edef069a1dd001fbff378748d91f17ab1876dc6d10392,23-Oct,20231018,Div Precision Loss,,1
