contract_name,hash,year_month,匹配日期,匹配攻击类型
ATK_exp,0xb181e88e6b37ee9986f2a57aefb94779402fdb928654aa7c1dda5138b90d0e14,22-Oct,20221015,Flashloan Manipulate Price
HPAY_exp,0x634f6fb7d2b6aa1439fb7940ced4b31626907b76d27510ffb2f74451b09b6b6e,22-Oct,20221018,Access Control
bEarn_exp,0x603b2bbe2a7d0877b22531735ff686a7caad866f6c0435c37b7b49e4bfd9a36c,21-May,20221019,Incorrect Signature Verification
HEALTH_exp,0xae8ca9dc8258ae32899fe641985739c3fa53ab1f603973ac74b424e165c66ccf,22-Oct,20221020,Transfer Logic Flaw
BBOX_exp,0xac57c78881a7c00dfbac0563e21b5ae3a8e3f9d1b07198a27313722a166cc0a3,22-Dec,20221105,Business Logic Flaw
BonqDAO_exp,0x31957ecc43774d19f54d9968e95c69c882468b46860f921668f2c55fadd51b19,23-Feb,20221109,Arbitrary External Call Vulnerability
DFX_exp,0x6bfd9e286e37061ed279e4f139fbc03c8bd707a2cdd15f7260549052cbba79b7,22-Nov,20221110,Reentrancy
BonqDAO_exp,0xa02d0c3d16d6ee0e0b6a42c3cc91997c2b40c87d777136dedebe8ee0f47f32b1,23-Feb,20221110,Arbitrary External Call Vulnerability
Annex_exp,0x3757d177482171dcfad7066c5e88d6f0f0fe74b28f32e41dd77137cad859c777,22-Nov,20221119,Verify Flashloan Callback
Audius_exp,0x82fc23992c7433fffad0e28a1b8d11211dc4377de83e88088d79f24f4a3f28b3,22-Jul,20221122,Lack of Permission Check
APC_exp,0xbcaecea2044101c80f186ce5327bec796cd9e054f0c240ddce93e2aead337370,22-Dec,20221201,Flashloan & Price Manipulation
APC_exp,0xf2d4559aeb945fb8e4304da5320ce6a2a96415aa70286715c9fcaf5dbd9d7ed2,22-Dec,20221202,Flashloan & Price Manipulation
BarleyFinance_exp,0x995e880635f4a7462a420a58527023f946710167ea4c6c093d7d193062a33b01,24-Jan,20221205,Flashloan Price Manipulation
BarleyFinance_exp,0xa685928b5102349a5cc50527fec2e03cb136c233505471bdd4363d0ab077a69a,24-Jan,20221206,Flashloan Price Manipulation
BarleyFinance_exp,0xaaa197c7478063eb1124c8d8b03016fe080e6ec4c4f4a4e6d7f09022084e3390,24-Jan,20221207,Flashloan Price Manipulation
AES_exp,0xca4d0d24aa448329b7d4eb81be653224a59e7b081fc7a1c9aad59c5a38d0ae19,22-Dec,20221207,Deflationary Token & Business Logic Flaw
